,name,price,first_name,last_name,above_100
0,William Dixon,109.0372796,William,Dixon,True
1,Kristen Horn,262.5246522,Kristen,Horn,True
2,Kimberly Chang,187.0072583,Kimberly,Chang,True
3,Mary Ball,283.1746476,Mary,Ball,True
4,Benjamin Craig,143.8715817,Benjamin,Craig,True
5,Cathy Werner,61.50899135,Cathy,Werner,False
6,Brandon Bell,48.6373091,Brandon,Bell,False
7,Paul Farley,12.38946479,Paul,Farley,False
8,Sarah Mcdaniel,151.5954472,Sarah,Mcdaniel,True
9,Caroline Anderson,75.62152103,Caroline,Anderson,False
10,Carl Jones,147.0294047,Carl,Jones,True
11,Scott Lee,244.1856527,Scott,Lee,True
12,Kaylee Coleman,17.86427032,Kaylee,Coleman,False
13,Charles Parker,215.537283,Charles,Parker,True
14,Susan Hess,38.35997063,Susan,Hess,False
15,Kiara Collier,204.1825486,Kiara,Collier,True
16,Mr. Scott Martinez,165.8514289,Mr.,Scott Martinez,True
17,Christopher Ortega,30.30144506,Christopher,Ortega,False
18,Michael Russell,243.1724911,Michael,Russell,True
19,Dwayne Johnson,287.4932856,Dwayne,Johnson,True
20,Patty Smith,180.2344257,Patty,Smith,True
21,Deanna Sherman,99.79911842,Deanna,Sherman,False
22,Douglas Francis,161.7688908,Douglas,Francis,True
23,Vicki Diaz,18.64987672,Vicki,Diaz,False
24,Robin Phillips,244.9119836,Robin,Phillips,True
25,Travis Rice,141.4988254,Travis,Rice,True
26,Ashley Rocha,50.00303731,Ashley,Rocha,False
27,Sarah Jacobson,80.48182457,Sarah,Jacobson,False
28,Kayla Shannon,98.91531394,Kayla,Shannon,False
29,Sean Wang DDS,220.6282177,Sean,Wang DDS,True
30,Richard Estrada,49.16869151,Richard,Estrada,False
31,Joseph Torres,150.1237842,Joseph,Torres,True
32,Kim Jones,18.8434377,Kim,Jones,False
33,Melissa Tanner,269.1840299,Melissa,Tanner,True
34,Jackson Cline,64.31251721,Jackson,Cline,False
35,Sonya Foster,296.2155012,Sonya,Foster,True
36,Allen Williams,15.3908317,Allen,Williams,False
37,Mr. Thomas Rivera,95.22843716,Mr.,Thomas Rivera,False
38,Jamie Silva,296.8244075,Jamie,Silva,True
